Wydział;Kierunek;Grupa_ogolna;Wada;Ilosc;Kategoria_wady
Z2WF;PL;Futryny;Brak w dostawie - Brak w dostawie;1;Brak w dostawie
Z1WD;PL;Drzwi;Błąd produkcji  - błąd frezowania;1;Błędy produkcji
Z1WD;PL;Futryny;Błąd produkcji  - błąd frezowania;6;Błędy produkcji
Z2WD;PL;Drzwi;Błąd produkcji  - błąd frezowania;4;Błędy produkcji
Z2WF;EX;Futryny;Błąd produkcji  - błąd frezowania;1;Błędy produkcji
Z2WF;PL;Futryny;Błąd produkcji  - błąd frezowania;6;Błędy produkcji
Z3WD;EX;Futryny;Błąd produkcji  - błąd frezowania;1;Błędy produkcji
Z3WD;PL;Drzwi;Błąd produkcji  - błąd frezowania;2;Błędy produkcji
Z3WD;PL;Futryny;Błąd produkcji  - błąd frezowania;4;Błędy produkcji
Z4WD;PL;Drzwi;Błąd produkcji  - błąd frezowania;1;Błędy produkcji
Z4WD;PL;Futryny;Błąd produkcji  - błąd frezowania;1;Błędy produkcji
Z4WF;PL;Futryny;Błąd produkcji  - błąd frezowania;2;Błędy produkcji
Z1WD;PL;Drzwi;Błąd produkcji - nieprawidłowe wymiary;2;Błędy produkcji
Z1WD;PL;Futryny;Błąd produkcji - nieprawidłowe wymiary;2;Błędy produkcji
Z1WD;PL;Listwa,opaska,panel kpl;Błąd produkcji - nieprawidłowe wymiary;2;Błędy produkcji
Z2WD;PL;Drzwi;Błąd produkcji - nieprawidłowe wymiary;3;Błędy produkcji
Z2WF;EX;Futryny;Błąd produkcji - nieprawidłowe wymiary;1;Błędy produkcji
Z2WF;EX;Listwa,opaska,panel kpl;Błąd produkcji - nieprawidłowe wymiary;1;Błędy produkcji
Z2WF;PL;Futryny;Błąd produkcji - nieprawidłowe wymiary;25;Błędy produkcji
Z3WD;EX;Drzwi;Błąd produkcji - nieprawidłowe wymiary;1;Błędy produkcji
Z3WD;PL;Drzwi;Błąd produkcji - nieprawidłowe wymiary;1;Błędy produkcji
Z3WD;PL;Futryny;Błąd produkcji - nieprawidłowe wymiary;10;Błędy produkcji
Z3WD;PL;Listwa,opaska,panel kpl;Błąd produkcji - nieprawidłowe wymiary;3;Błędy produkcji
Z4WD;PL;Futryny;Błąd produkcji - nieprawidłowe wymiary;13;Błędy produkcji
Z1WD;PL;Drzwi;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;2;Błędy produkcji
Z1WD;PL;Futryny;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;2;Błędy produkcji
Z2WF;PL;Drzwi;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;2;Błędy produkcji
Z2WF;PL;Futryny;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
Z2WF;PL;Listwa,opaska,panel kpl;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;2;Błędy produkcji
Z3WD;PL;Drzwi;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
Z3WD;PL;Listwa,opaska,panel kpl;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
Z4WD;PL;Futryny;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
Z4WF;EX;Futryny;Błąd produkcji - niezgodność z zamówieniem, konfiguracją;1;Błędy produkcji
