Wydzial,Oryginalna_Wada,Kategoria,Ilosc
Z2WF,Brak w dostawie - Brak w dostawie,PRODUKCJA,1.0
Z2WF,Brak w dostawie - Brak w dostawie,PRODUKCJA,1.0
Z1WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,1.0
Z1WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,6.0
Z1WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,7.0
Z2WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,4.0
Z2WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,1.0
Z2WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,1.0
Z2WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,6.0
Z2WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,6.0
Z3WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,5.0
Z3WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,5.0
Z3WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,3.0
Z3WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,4.0
Z3WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,7.0
Z4WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,1.0
Z4WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,1.0
Z4WD,Błąd produkcji  - błąd frezowania,PRODUKCJA,2.0
Z4WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,2.0
Z4WF,Błąd produkcji  - błąd frezowania,PRODUKCJA,2.0
Z1WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,2.0
Z1WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,2.0
Z1WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,2.0
Z1WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,6.0
Z2WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,3.0
Z2WF,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,1.0
Z2WF,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,1.0
Z2WF,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,2.0
Z2WF,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,25.0
Z2WF,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,25.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,5.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,5.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,12.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,13.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,2.0
Z3WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,27.0
Z4WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,13.0
Z4WD,Błąd produkcji - nieprawidłowe wymiary,PRODUKCJA,13.0
Z1WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,2.0
Z1WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,2.0
Z1WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,4.0
Z2WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,2.0
Z2WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z2WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,2.0
Z2WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,5.0
Z3WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,2.0
Z3WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,4.0
Z3WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,6.0
Z4WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z4WD,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z4WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z4WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z4WF,"Błąd produkcji - niezgodność z zamówieniem, konfiguracją",PRODUKCJA,1.0
Z1WD,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,9.0
Z1WD,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,9.0
Z2WF,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,1.0
Z2WF,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,1.0
Z3WD,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,2.0
Z3WD,Błąd produkcji - odklejanie wystroi/ramek/wstawek aluminiowych,PRODUKCJA,2.0
Z1WD,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,1.0
Z1WD,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,1.0
Z1WD,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,2.0
Z2WD,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,1.0
Z2WD,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,2.0
Z2WF,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,4.0
Z2WF,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,6.0
Z2WF,Niezgodność z zamówieniem (brak okuć pozostałe poza całymi zawiasami)- Niewłaściwa realizacja zamówienia - błąd w produkcji,PRODUKCJA,2.0
